iter	Passed	Remaining
0	2	2906
1	7	3591
2	11	3761
3	15	3877
4	20	3986
5	25	4142
6	29	4200
7	34	4259
8	39	4358
9	44	4395
10	49	4423
11	54	4491
12	59	4537
13	65	4595
14	70	4622
15	75	4643
16	86	4981
17	91	4965
18	95	4944
19	100	4929
20	105	4908
21	110	4890
22	114	4867
23	119	4870
24	124	4858
25	129	4846
26	134	4852
27	139	4843
28	144	4840
29	150	4850
30	155	4854
31	160	4846
32	165	4842
33	170	4841
34	175	4831
35	180	4822
36	185	4815
37	189	4803
38	194	4790
39	199	4794
40	204	4788
41	209	4775
42	214	4775
43	219	4766
44	224	4755
45	229	4750
46	233	4743
47	238	4732
48	243	4728
49	248	4723
50	253	4714
51	258	4705
52	263	4709
53	268	4702
54	273	4693
55	279	4704
56	284	4698
57	288	4689
58	294	4696
59	299	4688
60	303	4679
61	308	4673
62	313	4667
63	318	4659
64	324	4664
65	329	4662
66	334	4655
67	339	4659
68	345	4659
69	350	4658
70	355	4653
71	360	4650
72	366	4648
73	371	4646
74	376	4640
75	380	4631
76	386	4631
77	391	4628
78	398	4640
79	403	4635
80	408	4630
81	412	4619
82	417	4614
83	422	4605
84	427	4599
85	431	4590
86	443	4658
87	447	4640
88	452	4628
89	456	4616
90	460	4600
91	464	4585
92	469	4574
93	473	4562
94	477	4550
95	482	4541
96	486	4531
97	491	4520
98	495	4510
99	500	4503
100	504	4494
101	509	4483
102	513	4474
103	518	4469
104	523	4458
105	527	4445
106	532	4442
107	536	4430
108	540	4418
109	544	4406
110	549	4399
111	553	4391
112	559	4390
113	565	4391
114	569	4384
115	574	4375
116	578	4367
117	583	4358
118	587	4348
119	591	4341
120	609	4425
121	613	4414
122	617	4401
123	621	4391
124	625	4380
125	629	4369
126	634	4358
127	638	4348
128	642	4340
129	647	4330
130	651	4323
131	656	4314
132	660	4308
133	665	4300
134	669	4291
135	674	4284
136	678	4275
137	682	4266
138	687	4261
139	693	4259
140	698	4254
141	702	4245
142	708	4243
143	713	4238
144	717	4233
145	723	4229
146	728	4227
147	733	4222
148	738	4216
149	743	4213
150	748	4205
151	752	4199
152	757	4191
153	761	4183
154	765	4175
155	770	4170
156	775	4162
